Carrier Code,Flight Number,Origin Airport,precip_rate,rh,snow_rate,solar_rad,temp,vis,weather.description,wind_dir,wind_gust_spd,wind_spd,precip_rate_des,rh_des,snow_rate_des,solar_rad_des,temp_des,vis_des,weather.description_des,wind_dir_des,wind_gust_spd_des,wind_spd_des,Status,Previous Flight Status,Scheduled Arrival Hour,Scheduled Arrival Minutes,Scheduled departure Hour,Scheduled departure Minutes,Date,Predicted Status
B6,656.0,MCO,1.0,93,0.0,0,13.3,16,Light rain,10,7.7,5.7,0.0,32,0.0,131,-0.7,16,Broken clouds,250,15.2,11.55,1,Late,17,56,15,15,2022-11-20,1
B6,16.0,JFK,0.0,50,0.0,0,6.7,16,Overcast clouds,320,13.9,10.8,0.0,80,0.0,0,2.5,16,c04n,260,6.8,4.09,1,Late,22,47,21,35,2023-03-05,1
9E,5118.0,JFK,0.0,78,0.0,131,22.6,16,804,120,7.6,4.47,0.0,70,0.0,199,22.8,16,Overcast clouds,110,5.0,3.35,0,Late,16,3,14,29,2023-08-28,0
B6,2516.0,JFK,0.0,74,0.0,0,12.8,16,c01n,260,12.9,8.19,0.0,81,0.0,0,10.8,16,Overcast clouds,225,11.7,7.75,1,Late,23,40,22,29,2022-11-27,1
UA,1998.0,ORD,0.0,79,0.0,0,5.4,16,804,180,8.4,4.34,0.0,84,0.0,0,2.2,16,Overcast clouds,265,8.0,5.33,0,Early,21,7,18,13,2022-11-28,0
MQ,3911.0,ORD,0.0,62,0.0,0,23.2,16,804,90,4.0,3.59,0.0,54,0.0,236,24.9,16,Overcast clouds,335,6.2,4.72,2,On-time,20,0,17,13,2022-08-27,1
B6,116.0,JFK,0.0,46,0.0,271,22.8,16,804,360,4.59,4.59,0.0,41,0.0,729,20.3,16,Scattered clouds,315,5.4,2.29,2,Early,14,39,13,30,2023-09-21,1
B6,2516.0,JFK,0.0,60,0.0,0,14.8,16,Scattered clouds,325,10.4,7.32,0.0,82,0.0,0,10.6,16,Overcast clouds,350,10.4,3.1,1,Late,23,59,22,59,2022-09-22,1
B6,656.0,MCO,0.0,96,0.0,0,18.3,13,Overcast clouds,160,3.6,3.6,5.0,95,40.0,18,0.6,5,Heavy snow,80,11.2,5.7,1,Late,18,55,16,14,2022-12-22,1
B6,656.0,MCO,0.0,57,0.0,327,29.4,16,Overcast clouds,55,7.0,4.84,0.0,53,0.0,518,13.0,16,c02d,245,12.9,8.52,0,Late,13,32,10,50,2022-10-09,0
9E,5350.0,JFK,0.0,85,0.0,205,10.0,16,Overcast clouds,35,8.5,4.76,0.0,82,0.0,175,8.9,16,Overcast clouds,260,4.4,1.2,0,Early,11,15,9,55,2023-05-04,0
MQ,3392.0,ORD,0.0,62,0.0,0,7.7,16,804,185,5.2,2.47,0.0,36,0.0,0,8.9,16,Scattered clouds,225,7.1,2.7,0,Early,21,57,19,10,2022-11-26,0
9E,5090.0,JFK,0.0,83,0.0,0,6.5,16,Clear Sky,20,4.0,1.57,0.0,55,0.0,0,7.3,16,c02n,115,4.6,1.8,2,Early,23,53,22,30,2022-10-29,0
